Date,Open,High,Low,Volume,Close
3/1/1950,16.66,16.66,16.66,1260000,16.66
4/1/1950,16.85,16.85,16.85,1890000,16.85
5/1/1950,16.93,16.93,16.93,2550000,16.93
6/1/1950,16.98,16.98,16.98,2010000,16.98
9/1/1950,17.08,17.08,17.08,2520000,17.08
10/1/1950,17.030001,17.030001,17.030001,2160000,17.030001
11/1/1950,17.09,17.09,17.09,2630000,17.09
12/1/1950,16.76,16.76,16.76,2970000,16.76
13/1/1950,16.67,16.67,16.67,3330000,16.67
16/1/1950,16.719999,16.719999,16.719999,1460000,16.719999
17/1/1950,16.860001,16.860001,16.860001,1790000,16.860001
18/1/1950,16.85,16.85,16.85,1570000,16.85
19/1/1950,16.870001,16.870001,16.870001,1170000,16.870001
20/1/1950,16.9,16.9,16.9,1440000,16.9
23/1/1950,16.92,16.92,16.92,1340000,16.92
24/1/1950,16.860001,16.860001,16.860001,1250000,16.860001
25/1/1950,16.74,16.74,16.74,1700000,16.74
26/1/1950,16.73,16.73,16.73,1150000,16.73
27/1/1950,16.82,16.82,16.82,1250000,16.82
30/1/1950,17.02,17.02,17.02,1640000,17.02
31/1/1950,17.049999,17.049999,17.049999,1690000,17.049999
1/2/1950,17.049999,17.049999,17.049999,1810000,17.049999
2/2/1950,17.23,17.23,17.23,2040000,17.23
3/2/1950,17.290001,17.290001,17.290001,2210000,17.290001
6/2/1950,17.32,17.32,17.32,1490000,17.32
7/2/1950,17.23,17.23,17.23,1360000,17.23
8/2/1950,17.209999,17.209999,17.209999,1470000,17.209999
9/2/1950,17.280001,17.280001,17.280001,1810000,17.280001
10/2/1950,17.24,17.24,17.24,1790000,17.24
14/2/1950,17.059999,17.059999,17.059999,2210000,17.059999
15/2/1950,17.059999,17.059999,17.059999,1730000,17.059999
16/2/1950,16.99,16.99,16.99,1920000,16.99
17/2/1950,17.15,17.15,17.15,1940000,17.15
20/2/1950,17.200001,17.200001,17.200001,1420000,17.200001
21/2/1950,17.17,17.17,17.17,1260000,17.17
23/2/1950,17.209999,17.209999,17.209999,1310000,17.209999
24/2/1950,17.280001,17.280001,17.280001,1710000,17.280001
27/2/1950,17.280001,17.280001,17.280001,1410000,17.280001
28/2/1950,17.219999,17.219999,17.219999,1310000,17.219999
1/3/1950,17.24,17.24,17.24,1410000,17.24
2/3/1950,17.23,17.23,17.23,1340000,17.23
3/3/1950,17.290001,17.290001,17.290001,1520000,17.290001
6/3/1950,17.32,17.32,17.32,1470000,17.32
7/3/1950,17.200001,17.200001,17.200001,1590000,17.200001
8/3/1950,17.190001,17.190001,17.190001,1360000,17.190001
9/3/1950,17.07,17.07,17.07,1330000,17.07
10/3/1950,17.09,17.09,17.09,1260000,17.09
